Ta_med;Ta_max;Ta_min;UR_med;UR_max;UR_min;RG;V;P;ET0
26.9;34.28;20.46;49.75;78.2;26.31;17.928;3.14587703;0;6.447041122
26.19;33.49;18.48;46.3;72.1;20.81;19.75968;3.685538605;0;7.300453584
26.31;33.09;20.72;51.37;75.5;26.77;17.72064;3.834728324;0;6.820122199
26.25;33.03;18.47;53.23;91.6;26.91;15.88896;3.364136063;0;5.97135211
26.63;33.23;21.25;50.03;71.9;28.96;16.13952;3.545558128;0;6.447911215
26.46;33.56;19.6;45.01;74.5;23;18.3168;3.630283154;0;7.001924956
26.92;33.56;19.87;49.97;78.2;27.97;19.59552;3.190081391;0;6.512015461
27.08;35.34;19.67;49.2;81.5;21.2;19.40544;1.856583165;0;5.651317669
28.84;36.4;21.52;45.71;77.3;20.94;19.2672;2.089576985;0;6.077005317
27.93;34.48;23.37;49.15;73.2;27.3;14.04864;3.206658027;0;6.180646299
26.59;32.9;20.46;48.03;77.2;26.51;17.87616;2.962613117;0;6.131170112
26.08;34.34;19.41;46.82;74;20.14;19.44864;1.954201129;0;5.749823129
27.17;36.53;19.74;42.88;66.7;13.19;19.33632;1.386911829;0;5.410364172
29.45;38.31;22.05;44.16;77.7;17.09;19.224;1.680686645;0;5.894272865
28.06;33.89;22.58;51.84;77.1;29.75;11.56896;3.006817478;0;5.475768047
27.83;33.96;22.71;48.44;69.54;26.31;16.34688;3.52621872;0;6.773299857
27.54;33.96;22.98;49.55;69.54;29.62;12.2256;2.751721477;0;5.495459627
28.38;36;20.33;44.84;73.4;22.86;19.14624;1.91920601;0;5.846800141
28.48;35.47;21.98;47.18;70.6;27.9;18.2304;1.819746198;0;5.504509759
28.72;35.47;22.91;48.85;68.88;27.63;16.59744;2.653182589;0;6.195632551
28.3;34.81;22.84;49.73;68.41;28.69;15.86304;3.35676867;0.508;6.640090241
27.07;32.03;23.56;55.89;70.4;37.04;9.86688;2.847497593;0;4.809571956
28.36;35.6;21.52;42.53;64.82;19.28;18.42048;2.13470227;0;6.07433369
29.26;35.68;23.11;47.1;76.3;24.19;16.18272;2.91288321;0;6.367377012
27.99;35.14;21.39;46.42;73.3;24.52;17.97984;4.371627126;0;7.806905283
28.08;35.08;21.19;46.17;74.4;21.87;17.89344;3.626599457;0;7.265691748
26.95;34.68;21.78;50.52;74;24.05;16.86528;1.983670703;0;5.428154644
28.15;36.99;20.87;46.28;70.7;22.66;19.42272;1.063667438;0;4.889761465
29.92;35.41;23.31;45.16;67.35;31.54;16.8048;2.132860422;0;5.569091087
25.19;31.64;17.6;72.5;95.1;46.98;7.74144;0.784627409;31.75;2.34313345
28.2;37.19;22.91;62.34;84.4;29.22;14.59296;1.735942097;0;4.921156688
29;36.66;22.51;48.57;83.8;17.09;19.0944;2.127334877;0;6.15623408
28.33;35.01;21.98;44.71;72.5;20.81;19.67328;4.093508021;0;7.945415983
27.32;33.69;20.79;47.46;76;27.9;19.24128;4.452668455;0.508;7.486361472
25.84;32.3;21.25;57.51;76.2;33.8;12.8736;3.354926821;0;5.535020998
27.15;34.75;20.33;52.09;79.2;24.58;15.32736;3.032603355;0.508;6.223762055
28.08;34.35;23.17;46.07;72.6;22.33;17.87616;3.281252886;0;6.868062718
27.05;33.76;21.19;48.26;73.8;24.45;17.04672;3.263755326;0;6.563555927
27.87;35.14;21.39;46.9;73.5;22.86;19.56096;3.061152005;0;6.937429318
27.95;35.6;22.78;47.39;71;20.08;19.34496;2.664233679;0;6.723688397
28.31;36.47;22.38;47.53;72.7;22.06;20.32128;2.212059902;0;6.390003308
29.14;35.73;21.45;46.07;78.6;24.52;20.2608;2.322570805;0;6.270805723
28.09;34.68;22.58;49.22;67.48;30.08;19.31904;1.842769303;0;5.561560734
